InvoiceDate,Country,cumsum
2010-11-29,Australia,14
2010-11-29,Austria,0
2010-11-29,Bahrain,0
2010-11-29,Belgium,12
2010-11-29,Brazil,0
2010-11-29,Canada,0
2010-11-29,Channel Islands,0
2010-11-29,Cyprus,0
2010-11-29,Czech Republic,0
2010-11-29,Denmark,0
2010-11-29,EIRE,132
2010-11-29,European Community,0
2010-11-29,Finland,0
2010-11-29,France,106
2010-11-29,Germany,179
2010-11-29,Greece,0
2010-11-29,Iceland,0
2010-11-29,Israel,0
2010-11-29,Italy,24
2010-11-29,Japan,16
2010-11-29,Lebanon,0
2010-11-29,Lithuania,34
2010-11-29,Malta,0
2010-11-29,Netherlands,2
2010-11-29,Norway,73
2010-11-29,Poland,8
2010-11-29,Portugal,14
2010-11-29,RSA,0
2010-11-29,Saudi Arabia,0
2010-11-29,Singapore,0
2010-11-29,Spain,5
2010-11-29,Sweden,0
2010-11-29,Switzerland,6
2010-11-29,USA,0
2010-11-29,United Arab Emirates,0
2010-11-29,United Kingdom,8817
2010-11-29,Unspecified,0
2010-12-06,Australia,22
2010-12-06,Austria,0
2010-12-06,Bahrain,0
2010-12-06,Belgium,12
2010-12-06,Brazil,0
2010-12-06,Canada,0
2010-12-06,Channel Islands,17
2010-12-06,Cyprus,0
2010-12-06,Czech Republic,0
2010-12-06,Denmark,20
2010-12-06,EIRE,215
2010-12-06,European Community,0
2010-12-06,Finland,0
2010-12-06,France,284
2010-12-06,Germany,287
2010-12-06,Greece,0
2010-12-06,Iceland,31
2010-12-06,Israel,0
2010-12-06,Italy,24
2010-12-06,Japan,65
2010-12-06,Lebanon,0
2010-12-06,Lithuania,35
2010-12-06,Malta,0
2010-12-06,Netherlands,2
2010-12-06,Norway,147
2010-12-06,Poland,8
2010-12-06,Portugal,94
2010-12-06,RSA,0
2010-12-06,Saudi Arabia,0
2010-12-06,Singapore,0
2010-12-06,Spain,65
2010-12-06,Sweden,0
2010-12-06,Switzerland,6
2010-12-06,USA,0
2010-12-06,United Arab Emirates,0
2010-12-06,United Kingdom,16848
2010-12-06,Unspecified,0
2010-12-13,Australia,31
2010-12-13,Austria,8
2010-12-13,Bahrain,0
2010-12-13,Belgium,42
2010-12-13,Brazil,0
2010-12-13,Canada,0
2010-12-13,Channel Islands,17
2010-12-13,Cyprus,82
2010-12-13,Czech Republic,0
2010-12-13,Denmark,20
2010-12-13,EIRE,290
2010-12-13,European Community,0
2010-12-13,Finland,17
2010-12-13,France,425
2010-12-13,Germany,437
2010-12-13,Greece,0
2010-12-13,Iceland,31
2010-12-13,Israel,0
2010-12-13,Italy,24
2010-12-13,Japan,65
2010-12-13,Lebanon,0
2010-12-13,Lithuania,35
2010-12-13,Malta,0
2010-12-13,Netherlands,18
2010-12-13,Norway,147
2010-12-13,Poland,8
2010-12-13,Portugal,116
2010-12-13,RSA,0
2010-12-13,Saudi Arabia,0
2010-12-13,Singapore,0
2010-12-13,Spain,75
2010-12-13,Sweden,26
2010-12-13,Switzerland,49
2010-12-13,USA,0
2010-12-13,United Arab Emirates,0
2010-12-13,United Kingdom,22760
2010-12-13,Unspecified,0
2010-12-20,Australia,31
2010-12-20,Austria,8
2010-12-20,Bahrain,0
2010-12-20,Belgium,95
2010-12-20,Brazil,0
2010-12-20,Canada,0
2010-12-20,Channel Islands,17
2010-12-20,Cyprus,82
2010-12-20,Czech Republic,0
2010-12-20,Denmark,20
2010-12-20,EIRE,333
2010-12-20,European Community,0
2010-12-20,Finland,17
2010-12-20,France,434
2010-12-20,Germany,511
2010-12-20,Greece,0
2010-12-20,Iceland,31
2010-12-20,Israel,0
2010-12-20,Italy,40
2010-12-20,Japan,65
2010-12-20,Lebanon,0
2010-12-20,Lithuania,35
2010-12-20,Malta,0
2010-12-20,Netherlands,72
2010-12-20,Norway,147
2010-12-20,Poland,8
2010-12-20,Portugal,116
2010-12-20,RSA,0
2010-12-20,Saudi Arabia,0
2010-12-20,Singapore,0
2010-12-20,Spain,75
2010-12-20,Sweden,26
2010-12-20,Switzerland,49
2010-12-20,USA,0
2010-12-20,United Arab Emirates,0
2010-12-20,United Kingdom,23458
2010-12-20,Unspecified,0
2011-01-03,Australia,80
2011-01-03,Austria,8
2011-01-03,Bahrain,0
2011-01-03,Belgium,95
2011-01-03,Brazil,0
2011-01-03,Canada,0
2011-01-03,Channel Islands,17
2011-01-03,Cyprus,82
2011-01-03,Czech Republic,0
2011-01-03,Denmark,20
2011-01-03,EIRE,346
2011-01-03,European Community,0
2011-01-03,Finland,17
2011-01-03,France,650
2011-01-03,Germany,760
2011-01-03,Greece,0
2011-01-03,Iceland,31
2011-01-03,Israel,0
2011-01-03,Italy,40
2011-01-03,Japan,65
2011-01-03,Lebanon,0
2011-01-03,Lithuania,35
2011-01-03,Malta,0
2011-01-03,Netherlands,72
2011-01-03,Norway,147
2011-01-03,Poland,8
2011-01-03,Portugal,168
2011-01-03,RSA,0
2011-01-03,Saudi Arabia,0
2011-01-03,Singapore,0
2011-01-03,Spain,266
2011-01-03,Sweden,39
2011-01-03,Switzerland,49
2011-01-03,USA,0
2011-01-03,United Arab Emirates,0
2011-01-03,United Kingdom,28655
2011-01-03,Unspecified,0
2011-01-10,Australia,121
2011-01-10,Austria,8
2011-01-10,Bahrain,0
2011-01-10,Belgium,126
2011-01-10,Brazil,0
2011-01-10,Canada,0
2011-01-10,Channel Islands,17
2011-01-10,Cyprus,98
2011-01-10,Czech Republic,0
2011-01-10,Denmark,20
2011-01-10,EIRE,387
2011-01-10,European Community,0
2011-01-10,Finland,17
2011-01-10,France,854
2011-01-10,Germany,895
2011-01-10,Greece,0
2011-01-10,Iceland,31
2011-01-10,Israel,0
2011-01-10,Italy,110
2011-01-10,Japan,65
2011-01-10,Lebanon,0
2011-01-10,Lithuania,35
2011-01-10,Malta,0
2011-01-10,Netherlands,151
2011-01-10,Norway,147
2011-01-10,Poland,33
2011-01-10,Portugal,168
2011-01-10,RSA,0
2011-01-10,Saudi Arabia,0
2011-01-10,Singapore,0
2011-01-10,Spain,301
2011-01-10,Sweden,39
2011-01-10,Switzerland,49
2011-01-10,USA,0
2011-01-10,United Arab Emirates,0
2011-01-10,United Kingdom,32778
2011-01-10,Unspecified,0
2011-01-17,Australia,138
2011-01-17,Austria,8
2011-01-17,Bahrain,0
2011-01-17,Belgium,137
2011-01-17,Brazil,0
2011-01-17,Canada,0
2011-01-17,Channel Islands,17
2011-01-17,Cyprus,98
2011-01-17,Czech Republic,0
2011-01-17,Denmark,20
2011-01-17,EIRE,433
2011-01-17,European Community,0
2011-01-17,Finland,22
2011-01-17,France,978
2011-01-17,Germany,990
2011-01-17,Greece,32
2011-01-17,Iceland,31
2011-01-17,Israel,0
2011-01-17,Italy,122
2011-01-17,Japan,65
2011-01-17,Lebanon,0
2011-01-17,Lithuania,35
2011-01-17,Malta,0
2011-01-17,Netherlands,292
2011-01-17,Norway,147
2011-01-17,Poland,33
2011-01-17,Portugal,204
2011-01-17,RSA,0
2011-01-17,Saudi Arabia,0
2011-01-17,Singapore,0
2011-01-17,Spain,364
2011-01-17,Sweden,39
2011-01-17,Switzerland,175
2011-01-17,USA,0
2011-01-17,United Arab Emirates,0
2011-01-17,United Kingdom,36503
2011-01-17,Unspecified,0
2011-01-24,Australia,158
2011-01-24,Austria,8
2011-01-24,Bahrain,0
2011-01-24,Belgium,153
2011-01-24,Brazil,0
2011-01-24,Canada,0
2011-01-24,Channel Islands,47
2011-01-24,Cyprus,98
2011-01-24,Czech Republic,0
2011-01-24,Denmark,20
2011-01-24,EIRE,506
2011-01-24,European Community,0
2011-01-24,Finland,28
2011-01-24,France,1094
2011-01-24,Germany,1288
2011-01-24,Greece,32
2011-01-24,Iceland,60
2011-01-24,Israel,0
2011-01-24,Italy,148
2011-01-24,Japan,65
2011-01-24,Lebanon,45
2011-01-24,Lithuania,35
2011-01-24,Malta,0
2011-01-24,Netherlands,301
2011-01-24,Norway,147
2011-01-24,Poland,33
2011-01-24,Portugal,234
2011-01-24,RSA,0
2011-01-24,Saudi Arabia,0
2011-01-24,Singapore,56
2011-01-24,Spain,457
2011-01-24,Sweden,60
2011-01-24,Switzerland,209
2011-01-24,USA,0
2011-01-24,United Arab Emirates,0
2011-01-24,United Kingdom,41376
2011-01-24,Unspecified,0
2011-01-31,Australia,168
2011-01-31,Austria,29
2011-01-31,Bahrain,0
2011-01-31,Belgium,159
2011-01-31,Brazil,0
2011-01-31,Canada,0
2011-01-31,Channel Islands,47
2011-01-31,Cyprus,190
2011-01-31,Czech Republic,0
2011-01-31,Denmark,20
2011-01-31,EIRE,604
2011-01-31,European Community,0
2011-01-31,Finland,28
2011-01-31,France,1205
2011-01-31,Germany,1343
2011-01-31,Greece,32
2011-01-31,Iceland,60
2011-01-31,Israel,0
2011-01-31,Italy,148
2011-01-31,Japan,102
2011-01-31,Lebanon,45
2011-01-31,Lithuania,35
2011-01-31,Malta,0
2011-01-31,Netherlands,313
2011-01-31,Norway,164
2011-01-31,Poland,42
2011-01-31,Portugal,234
2011-01-31,RSA,0
2011-01-31,Saudi Arabia,0
2011-01-31,Singapore,56
2011-01-31,Spain,500
2011-01-31,Sweden,72
2011-01-31,Switzerland,235
2011-01-31,USA,0
2011-01-31,United Arab Emirates,0
2011-01-31,United Kingdom,45806
2011-01-31,Unspecified,0
2011-02-07,Australia,168
2011-02-07,Austria,29
2011-02-07,Bahrain,0
2011-02-07,Belgium,178
2011-02-07,Brazil,0
2011-02-07,Canada,0
2011-02-07,Channel Islands,47
2011-02-07,Cyprus,190
2011-02-07,Czech Republic,0
2011-02-07,Denmark,20
2011-02-07,EIRE,680
2011-02-07,European Community,0
2011-02-07,Finland,28
2011-02-07,France,1259
2011-02-07,Germany,1468
2011-02-07,Greece,32
2011-02-07,Iceland,60
2011-02-07,Israel,0
2011-02-07,Italy,148
2011-02-07,Japan,150
2011-02-07,Lebanon,45
2011-02-07,Lithuania,35
2011-02-07,Malta,0
2011-02-07,Netherlands,327
2011-02-07,Norway,164
2011-02-07,Poland,61
2011-02-07,Portugal,234
2011-02-07,RSA,0
2011-02-07,Saudi Arabia,0
2011-02-07,Singapore,56
2011-02-07,Spain,553
2011-02-07,Sweden,72
2011-02-07,Switzerland,235
2011-02-07,USA,0
2011-02-07,United Arab Emirates,30
2011-02-07,United Kingdom,48894
2011-02-07,Unspecified,0
2011-02-14,Australia,237
2011-02-14,Austria,29
2011-02-14,Bahrain,0
2011-02-14,Belgium,257
2011-02-14,Brazil,0
2011-02-14,Canada,0
2011-02-14,Channel Islands,57
2011-02-14,Cyprus,254
2011-02-14,Czech Republic,0
2011-02-14,Denmark,40
2011-02-14,EIRE,836
2011-02-14,European Community,0
2011-02-14,Finland,28
2011-02-14,France,1429
2011-02-14,Germany,1523
2011-02-14,Greece,32
2011-02-14,Iceland,60
2011-02-14,Israel,16
2011-02-14,Italy,161
2011-02-14,Japan,150
2011-02-14,Lebanon,45
2011-02-14,Lithuania,35
2011-02-14,Malta,0
2011-02-14,Netherlands,446
2011-02-14,Norway,179
2011-02-14,Poland,61
2011-02-14,Portugal,277
2011-02-14,RSA,0
2011-02-14,Saudi Arabia,0
2011-02-14,Singapore,56
2011-02-14,Spain,553
2011-02-14,Sweden,72
2011-02-14,Switzerland,235
2011-02-14,USA,0
2011-02-14,United Arab Emirates,30
2011-02-14,United Kingdom,53503
2011-02-14,Unspecified,0
2011-02-21,Australia,247
2011-02-21,Austria,29
2011-02-21,Bahrain,0
2011-02-21,Belgium,270
2011-02-21,Brazil,0
2011-02-21,Canada,0
2011-02-21,Channel Islands,57
2011-02-21,Cyprus,254
2011-02-21,Czech Republic,15
2011-02-21,Denmark,40
2011-02-21,EIRE,851
2011-02-21,European Community,0
2011-02-21,Finland,40
2011-02-21,France,1513
2011-02-21,Germany,1584
2011-02-21,Greece,32
2011-02-21,Iceland,60
2011-02-21,Israel,16
2011-02-21,Italy,161
2011-02-21,Japan,150
2011-02-21,Lebanon,45
2011-02-21,Lithuania,35
2011-02-21,Malta,0
2011-02-21,Netherlands,490
2011-02-21,Norway,179
2011-02-21,Poland,61
2011-02-21,Portugal,291
2011-02-21,RSA,0
2011-02-21,Saudi Arabia,9
2011-02-21,Singapore,56
2011-02-21,Spain,553
2011-02-21,Sweden,72
2011-02-21,Switzerland,310
2011-02-21,USA,0
2011-02-21,United Arab Emirates,30
2011-02-21,United Kingdom,58914
2011-02-21,Unspecified,0
2011-02-28,Australia,329
2011-02-28,Austria,33
2011-02-28,Bahrain,0
2011-02-28,Belgium,315
2011-02-28,Brazil,0
2011-02-28,Canada,0
2011-02-28,Channel Islands,96
2011-02-28,Cyprus,254
2011-02-28,Czech Republic,15
2011-02-28,Denmark,40
2011-02-28,EIRE,932
2011-02-28,European Community,0
2011-02-28,Finland,234
2011-02-28,France,1618
2011-02-28,Germany,1673
2011-02-28,Greece,54
2011-02-28,Iceland,60
2011-02-28,Israel,16
2011-02-28,Italy,179
2011-02-28,Japan,166
2011-02-28,Lebanon,45
2011-02-28,Lithuania,35
2011-02-28,Malta,0
2011-02-28,Netherlands,490
2011-02-28,Norway,187
2011-02-28,Poland,61
2011-02-28,Portugal,291
2011-02-28,RSA,0
2011-02-28,Saudi Arabia,9
2011-02-28,Singapore,56
2011-02-28,Spain,576
2011-02-28,Sweden,72
2011-02-28,Switzerland,310
2011-02-28,USA,0
2011-02-28,United Arab Emirates,30
2011-02-28,United Kingdom,63859
2011-02-28,Unspecified,0
2011-03-07,Australia,339
2011-03-07,Austria,33
2011-03-07,Bahrain,0
2011-03-07,Belgium,330
2011-03-07,Brazil,0
2011-03-07,Canada,10
2011-03-07,Channel Islands,239
2011-03-07,Cyprus,302
2011-03-07,Czech Republic,15
2011-03-07,Denmark,40
2011-03-07,EIRE,1099
2011-03-07,European Community,0
2011-03-07,Finland,234
2011-03-07,France,1677
2011-03-07,Germany,1783
2011-03-07,Greece,54
2011-03-07,Iceland,60
2011-03-07,Israel,16
2011-03-07,Italy,179
2011-03-07,Japan,166
2011-03-07,Lebanon,45
2011-03-07,Lithuania,35
2011-03-07,Malta,0
2011-03-07,Netherlands,525
2011-03-07,Norway,187
2011-03-07,Poland,61
2011-03-07,Portugal,347
2011-03-07,RSA,0
2011-03-07,Saudi Arabia,9
2011-03-07,Singapore,56
2011-03-07,Spain,576
2011-03-07,Sweden,100
2011-03-07,Switzerland,314
2011-03-07,USA,0
2011-03-07,United Arab Emirates,30
2011-03-07,United Kingdom,68502
2011-03-07,Unspecified,0
2011-03-14,Australia,339
2011-03-14,Austria,33
2011-03-14,Bahrain,0
2011-03-14,Belgium,365
2011-03-14,Brazil,0
2011-03-14,Canada,10
2011-03-14,Channel Islands,239
2011-03-14,Cyprus,302
2011-03-14,Czech Republic,15
2011-03-14,Denmark,59
2011-03-14,EIRE,1275
2011-03-14,European Community,0
2011-03-14,Finland,244
2011-03-14,France,1779
2011-03-14,Germany,1945
2011-03-14,Greece,54
2011-03-14,Iceland,60
2011-03-14,Israel,16
2011-03-14,Italy,230
2011-03-14,Japan,166
2011-03-14,Lebanon,45
2011-03-14,Lithuania,35
2011-03-14,Malta,0
2011-03-14,Netherlands,525
2011-03-14,Norway,194
2011-03-14,Poland,70
2011-03-14,Portugal,347
2011-03-14,RSA,0
2011-03-14,Saudi Arabia,9
2011-03-14,Singapore,56
2011-03-14,Spain,637
2011-03-14,Sweden,100
2011-03-14,Switzerland,314
2011-03-14,USA,0
2011-03-14,United Arab Emirates,30
2011-03-14,United Kingdom,73725
2011-03-14,Unspecified,0
2011-03-21,Australia,355
2011-03-21,Austria,47
2011-03-21,Bahrain,0
2011-03-21,Belgium,431
2011-03-21,Brazil,0
2011-03-21,Canada,10
2011-03-21,Channel Islands,239
2011-03-21,Cyprus,302
2011-03-21,Czech Republic,15
2011-03-21,Denmark,59
2011-03-21,EIRE,1373
2011-03-21,European Community,0
2011-03-21,Finland,244
2011-03-21,France,1984
2011-03-21,Germany,2146
2011-03-21,Greece,54
2011-03-21,Iceland,60
2011-03-21,Israel,16
2011-03-21,Italy,244
2011-03-21,Japan,166
2011-03-21,Lebanon,45
2011-03-21,Lithuania,35
2011-03-21,Malta,0
2011-03-21,Netherlands,559
2011-03-21,Norway,202
2011-03-21,Poland,70
2011-03-21,Portugal,389
2011-03-21,RSA,0
2011-03-21,Saudi Arabia,9
2011-03-21,Singapore,56
2011-03-21,Spain,754
2011-03-21,Sweden,107
2011-03-21,Switzerland,327
2011-03-21,USA,0
2011-03-21,United Arab Emirates,30
2011-03-21,United Kingdom,79599
2011-03-21,Unspecified,0
2011-03-28,Australia,356
2011-03-28,Austria,47
2011-03-28,Bahrain,0
2011-03-28,Belgium,431
2011-03-28,Brazil,0
2011-03-28,Canada,10
2011-03-28,Channel Islands,239
2011-03-28,Cyprus,302
2011-03-28,Czech Republic,15
2011-03-28,Denmark,59
2011-03-28,EIRE,1478
2011-03-28,European Community,0
2011-03-28,Finland,254
2011-03-28,France,2096
2011-03-28,Germany,2199
2011-03-28,Greece,54
2011-03-28,Iceland,60
2011-03-28,Israel,16
2011-03-28,Italy,244
2011-03-28,Japan,166
2011-03-28,Lebanon,45
2011-03-28,Lithuania,35
2011-03-28,Malta,0
2011-03-28,Netherlands,679
2011-03-28,Norway,202
2011-03-28,Poland,70
2011-03-28,Portugal,405
2011-03-28,RSA,0
2011-03-28,Saudi Arabia,9
2011-03-28,Singapore,61
2011-03-28,Spain,754
2011-03-28,Sweden,107
2011-03-28,Switzerland,368
2011-03-28,USA,0
2011-03-28,United Arab Emirates,30
2011-03-28,United Kingdom,85442
2011-03-28,Unspecified,0
2011-04-04,Australia,373
2011-04-04,Austria,47
2011-04-04,Bahrain,0
2011-04-04,Belgium,475
2011-04-04,Brazil,0
2011-04-04,Canada,10
2011-04-04,Channel Islands,239
2011-04-04,Cyprus,302
2011-04-04,Czech Republic,15
2011-04-04,Denmark,59
2011-04-04,EIRE,1637
2011-04-04,European Community,0
2011-04-04,Finland,280
2011-04-04,France,2121
2011-04-04,Germany,2334
2011-04-04,Greece,85
2011-04-04,Iceland,84
2011-04-04,Israel,16
2011-04-04,Italy,258
2011-04-04,Japan,198
2011-04-04,Lebanon,45
2011-04-04,Lithuania,35
2011-04-04,Malta,0
2011-04-04,Netherlands,694
2011-04-04,Norway,202
2011-04-04,Poland,95
2011-04-04,Portugal,426
2011-04-04,RSA,0
2011-04-04,Saudi Arabia,9
2011-04-04,Singapore,113
2011-04-04,Spain,769
2011-04-04,Sweden,107
2011-04-04,Switzerland,368
2011-04-04,USA,0
2011-04-04,United Arab Emirates,30
2011-04-04,United Kingdom,90873
2011-04-04,Unspecified,16
2011-04-11,Australia,373
