InvoiceDate,Country,cumsum
2011-08-08,Netherlands,1484
2011-08-08,Norway,494
2011-08-08,Poland,227
2011-08-08,Portugal,740
2011-08-08,RSA,0
2011-08-08,Saudi Arabia,9
2011-08-08,Singapore,188
2011-08-08,Spain,1349
2011-08-08,Sweden,258
2011-08-08,Switzerland,1082
2011-08-08,USA,22
2011-08-08,United Arab Emirates,30
2011-08-08,United Kingdom,185855
2011-08-08,Unspecified,218
2011-08-15,Australia,924
2011-08-15,Austria,267
2011-08-15,Bahrain,17
2011-08-15,Belgium,1195
2011-08-15,Brazil,32
2011-08-15,Canada,146
2011-08-15,Channel Islands,380
2011-08-15,Cyprus,349
2011-08-15,Czech Republic,15
2011-08-15,Denmark,217
2011-08-15,EIRE,3884
2011-08-15,European Community,60
2011-08-15,Finland,431
2011-08-15,France,4325
2011-08-15,Germany,5238
2011-08-15,Greece,109
2011-08-15,Iceland,124
2011-08-15,Israel,214
2011-08-15,Italy,382
2011-08-15,Japan,269
2011-08-15,Lebanon,45
2011-08-15,Lithuania,35
2011-08-15,Malta,100
2011-08-15,Netherlands,1484
2011-08-15,Norway,494
2011-08-15,Poland,227
2011-08-15,Portugal,740
2011-08-15,RSA,0
2011-08-15,Saudi Arabia,9
2011-08-15,Singapore,188
2011-08-15,Spain,1408
2011-08-15,Sweden,268
2011-08-15,Switzerland,1116
2011-08-15,USA,22
2011-08-15,United Arab Emirates,30
2011-08-15,United Kingdom,191874
2011-08-15,Unspecified,241
2011-08-22,Australia,924
2011-08-22,Austria,267
2011-08-22,Bahrain,17
2011-08-22,Belgium,1234
2011-08-22,Brazil,32
2011-08-22,Canada,151
2011-08-22,Channel Islands,502
2011-08-22,Cyprus,349
2011-08-22,Czech Republic,15
2011-08-22,Denmark,217
2011-08-22,EIRE,3955
2011-08-22,European Community,60
2011-08-22,Finland,451
2011-08-22,France,4562
2011-08-22,Germany,5403
2011-08-22,Greece,109
2011-08-22,Iceland,124
2011-08-22,Israel,214
2011-08-22,Italy,400
2011-08-22,Japan,269
2011-08-22,Lebanon,45
2011-08-22,Lithuania,35
2011-08-22,Malta,100
2011-08-22,Netherlands,1528
2011-08-22,Norway,494
2011-08-22,Poland,227
2011-08-22,Portugal,740
2011-08-22,RSA,0
2011-08-22,Saudi Arabia,9
2011-08-22,Singapore,188
2011-08-22,Spain,1546
2011-08-22,Sweden,288
2011-08-22,Switzerland,1116
2011-08-22,USA,22
2011-08-22,United Arab Emirates,30
2011-08-22,United Kingdom,197036
2011-08-22,Unspecified,241
2011-08-29,Australia,941
2011-08-29,Austria,267
2011-08-29,Bahrain,17
2011-08-29,Belgium,1263
2011-08-29,Brazil,32
2011-08-29,Canada,151
2011-08-29,Channel Islands,502
2011-08-29,Cyprus,349
2011-08-29,Czech Republic,15
2011-08-29,Denmark,217
2011-08-29,EIRE,4062
2011-08-29,European Community,60
2011-08-29,Finland,462
2011-08-29,France,4709
2011-08-29,Germany,5721
2011-08-29,Greece,109
2011-08-29,Iceland,124
2011-08-29,Israel,214
2011-08-29,Italy,400
2011-08-29,Japan,269
2011-08-29,Lebanon,45
2011-08-29,Lithuania,35
2011-08-29,Malta,100
2011-08-29,Netherlands,1528
2011-08-29,Norway,510
2011-08-29,Poland,259
2011-08-29,Portugal,760
2011-08-29,RSA,0
2011-08-29,Saudi Arabia,9
2011-08-29,Singapore,188
2011-08-29,Spain,1602
2011-08-29,Sweden,302
2011-08-29,Switzerland,1116
2011-08-29,USA,22
2011-08-29,United Arab Emirates,67
2011-08-29,United Kingdom,202506
2011-08-29,Unspecified,241
2011-09-05,Australia,941
2011-09-05,Austria,267
2011-09-05,Bahrain,17
2011-09-05,Belgium,1308
2011-09-05,Brazil,32
2011-09-05,Canada,151
2011-09-05,Channel Islands,502
2011-09-05,Cyprus,349
2011-09-05,Czech Republic,15
2011-09-05,Denmark,217
2011-09-05,EIRE,4313
2011-09-05,European Community,60
2011-09-05,Finland,462
2011-09-05,France,5043
2011-09-05,Germany,5909
2011-09-05,Greece,109
2011-09-05,Iceland,124
2011-09-05,Israel,214
2011-09-05,Italy,400
2011-09-05,Japan,269
2011-09-05,Lebanon,45
2011-09-05,Lithuania,35
2011-09-05,Malta,100
2011-09-05,Netherlands,1588
2011-09-05,Norway,591
2011-09-05,Poland,259
2011-09-05,Portugal,760
2011-09-05,RSA,0
2011-09-05,Saudi Arabia,9
2011-09-05,Singapore,188
2011-09-05,Spain,1625
2011-09-05,Sweden,302
2011-09-05,Switzerland,1117
2011-09-05,USA,22
2011-09-05,United Arab Emirates,67
2011-09-05,United Kingdom,209585
2011-09-05,Unspecified,241
2011-09-12,Australia,975
2011-09-12,Austria,267
2011-09-12,Bahrain,17
2011-09-12,Belgium,1328
2011-09-12,Brazil,32
2011-09-12,Canada,151
2011-09-12,Channel Islands,550
2011-09-12,Cyprus,350
2011-09-12,Czech Republic,15
2011-09-12,Denmark,217
2011-09-12,EIRE,4412
2011-09-12,European Community,60
2011-09-12,Finland,466
2011-09-12,France,5223
2011-09-12,Germany,6015
2011-09-12,Greece,109
2011-09-12,Iceland,124
2011-09-12,Israel,214
2011-09-12,Italy,400
2011-09-12,Japan,273
2011-09-12,Lebanon,45
2011-09-12,Lithuania,35
2011-09-12,Malta,100
2011-09-12,Netherlands,1749
2011-09-12,Norway,664
2011-09-12,Poland,259
2011-09-12,Portugal,760
2011-09-12,RSA,0
2011-09-12,Saudi Arabia,9
2011-09-12,Singapore,188
2011-09-12,Spain,1661
2011-09-12,Sweden,319
2011-09-12,Switzerland,1152
2011-09-12,USA,22
2011-09-12,United Arab Emirates,67
2011-09-12,United Kingdom,217232
2011-09-12,Unspecified,241
2011-09-19,Australia,997
2011-09-19,Austria,267
2011-09-19,Bahrain,17
2011-09-19,Belgium,1390
2011-09-19,Brazil,32
2011-09-19,Canada,151
2011-09-19,Channel Islands,567
2011-09-19,Cyprus,350
2011-09-19,Czech Republic,15
2011-09-19,Denmark,250
2011-09-19,EIRE,4842
2011-09-19,European Community,60
2011-09-19,Finland,484
2011-09-19,France,5457
2011-09-19,Germany,6231
2011-09-19,Greece,109
2011-09-19,Iceland,124
2011-09-19,Israel,214
2011-09-19,Italy,415
2011-09-19,Japan,273
2011-09-19,Lebanon,45
2011-09-19,Lithuania,35
2011-09-19,Malta,100
2011-09-19,Netherlands,1770
2011-09-19,Norway,682
2011-09-19,Poland,259
2011-09-19,Portugal,814
2011-09-19,RSA,0
2011-09-19,Saudi Arabia,9
2011-09-19,Singapore,188
2011-09-19,Spain,1786
2011-09-19,Sweden,319
2011-09-19,Switzerland,1197
2011-09-19,USA,22
2011-09-19,United Arab Emirates,68
2011-09-19,United Kingdom,226784
2011-09-19,Unspecified,241
2011-09-26,Australia,1026
2011-09-26,Austria,267
2011-09-26,Bahrain,17
2011-09-26,Belgium,1430
2011-09-26,Brazil,32
2011-09-26,Canada,151
2011-09-26,Channel Islands,567
2011-09-26,Cyprus,350
2011-09-26,Czech Republic,15
2011-09-26,Denmark,263
2011-09-26,EIRE,5028
2011-09-26,European Community,60
2011-09-26,Finland,484
2011-09-26,France,5703
2011-09-26,Germany,6335
2011-09-26,Greece,109
2011-09-26,Iceland,124
2011-09-26,Israel,214
2011-09-26,Italy,415
2011-09-26,Japan,273
2011-09-26,Lebanon,45
2011-09-26,Lithuania,35
2011-09-26,Malta,100
2011-09-26,Netherlands,1770
2011-09-26,Norway,696
2011-09-26,Poland,259
2011-09-26,Portugal,814
2011-09-26,RSA,0
2011-09-26,Saudi Arabia,9
2011-09-26,Singapore,188
2011-09-26,Spain,1805
2011-09-26,Sweden,326
2011-09-26,Switzerland,1308
2011-09-26,USA,22
2011-09-26,United Arab Emirates,68
2011-09-26,United Kingdom,236282
2011-09-26,Unspecified,241
2011-10-03,Australia,1140
2011-10-03,Austria,267
2011-10-03,Bahrain,17
2011-10-03,Belgium,1464
2011-10-03,Brazil,32
2011-10-03,Canada,151
2011-10-03,Channel Islands,648
2011-10-03,Cyprus,380
2011-10-03,Czech Republic,25
2011-10-03,Denmark,269
2011-10-03,EIRE,5184
2011-10-03,European Community,60
2011-10-03,Finland,486
2011-10-03,France,5931
2011-10-03,Germany,6734
2011-10-03,Greece,109
2011-10-03,Iceland,124
2011-10-03,Israel,245
2011-10-03,Italy,415
2011-10-03,Japan,273
2011-10-03,Lebanon,45
2011-10-03,Lithuania,35
2011-10-03,Malta,100
2011-10-03,Netherlands,1808
2011-10-03,Norway,696
2011-10-03,Poland,259
2011-10-03,Portugal,1030
2011-10-03,RSA,0
2011-10-03,Saudi Arabia,9
2011-10-03,Singapore,188
2011-10-03,Spain,1827
2011-10-03,Sweden,326
2011-10-03,Switzerland,1408
2011-10-03,USA,123
2011-10-03,United Arab Emirates,68
2011-10-03,United Kingdom,247269
2011-10-03,Unspecified,241
2011-10-10,Australia,1140
2011-10-10,Austria,267
2011-10-10,Bahrain,17
2011-10-10,Belgium,1575
2011-10-10,Brazil,32
2011-10-10,Canada,151
2011-10-10,Channel Islands,669
2011-10-10,Cyprus,482
2011-10-10,Czech Republic,25
2011-10-10,Denmark,281
2011-10-10,EIRE,5535
2011-10-10,European Community,60
2011-10-10,Finland,553
2011-10-10,France,6282
2011-10-10,Germany,7191
2011-10-10,Greece,109
2011-10-10,Iceland,124
2011-10-10,Israel,245
2011-10-10,Italy,429
2011-10-10,Japan,273
2011-10-10,Lebanon,45
2011-10-10,Lithuania,35
2011-10-10,Malta,100
2011-10-10,Netherlands,1808
2011-10-10,Norway,715
2011-10-10,Poland,259
2011-10-10,Portugal,1207
2011-10-10,RSA,57
2011-10-10,Saudi Arabia,9
2011-10-10,Singapore,220
2011-10-10,Spain,1842
2011-10-10,Sweden,357
2011-10-10,Switzerland,1491
2011-10-10,USA,123
2011-10-10,United Arab Emirates,68
2011-10-10,United Kingdom,255547
2011-10-10,Unspecified,241
2011-10-17,Australia,1140
2011-10-17,Austria,321
2011-10-17,Bahrain,17
2011-10-17,Belgium,1588
2011-10-17,Brazil,32
2011-10-17,Canada,151
2011-10-17,Channel Islands,669
2011-10-17,Cyprus,510
2011-10-17,Czech Republic,25
2011-10-17,Denmark,286
2011-10-17,EIRE,5840
2011-10-17,European Community,60
2011-10-17,Finland,553
2011-10-17,France,6356
2011-10-17,Germany,7463
2011-10-17,Greece,109
2011-10-17,Iceland,124
2011-10-17,Israel,245
2011-10-17,Italy,518
2011-10-17,Japan,273
2011-10-17,Lebanon,45
2011-10-17,Lithuania,35
2011-10-17,Malta,100
2011-10-17,Netherlands,2020
2011-10-17,Norway,715
2011-10-17,Poland,259
2011-10-17,Portugal,1209
2011-10-17,RSA,57
2011-10-17,Saudi Arabia,9
2011-10-17,Singapore,222
2011-10-17,Spain,1973
2011-10-17,Sweden,357
2011-10-17,Switzerland,1491
2011-10-17,USA,147
2011-10-17,United Arab Emirates,68
2011-10-17,United Kingdom,265236
2011-10-17,Unspecified,241
2011-10-24,Australia,1140
2011-10-24,Austria,321
2011-10-24,Bahrain,17
2011-10-24,Belgium,1694
2011-10-24,Brazil,32
2011-10-24,Canada,151
2011-10-24,Channel Islands,669
2011-10-24,Cyprus,510
2011-10-24,Czech Republic,25
2011-10-24,Denmark,286
2011-10-24,EIRE,5898
2011-10-24,European Community,60
2011-10-24,Finland,598
2011-10-24,France,6513
2011-10-24,Germany,7620
2011-10-24,Greece,109
2011-10-24,Iceland,171
2011-10-24,Israel,245
2011-10-24,Italy,574
2011-10-24,Japan,289
2011-10-24,Lebanon,45
2011-10-24,Lithuania,35
2011-10-24,Malta,100
2011-10-24,Netherlands,2048
2011-10-24,Norway,816
2011-10-24,Poland,259
2011-10-24,Portugal,1209
2011-10-24,RSA,57
2011-10-24,Saudi Arabia,9
2011-10-24,Singapore,222
2011-10-24,Spain,2111
2011-10-24,Sweden,373
2011-10-24,Switzerland,1616
2011-10-24,USA,147
2011-10-24,United Arab Emirates,68
2011-10-24,United Kingdom,276220
2011-10-24,Unspecified,241
2011-10-31,Australia,1146
2011-10-31,Austria,321
2011-10-31,Bahrain,17
2011-10-31,Belgium,1789
2011-10-31,Brazil,32
2011-10-31,Canada,151
2011-10-31,Channel Islands,733
2011-10-31,Cyprus,510
2011-10-31,Czech Republic,25
2011-10-31,Denmark,286
2011-10-31,EIRE,6028
2011-10-31,European Community,60
2011-10-31,Finland,612
2011-10-31,France,6759
2011-10-31,Germany,7730
2011-10-31,Greece,109
2011-10-31,Iceland,171
2011-10-31,Israel,245
2011-10-31,Italy,576
2011-10-31,Japan,289
2011-10-31,Lebanon,45
2011-10-31,Lithuania,35
2011-10-31,Malta,100
2011-10-31,Netherlands,2118
2011-10-31,Norway,847
2011-10-31,Poland,330
2011-10-31,Portugal,1234
2011-10-31,RSA,57
2011-10-31,Saudi Arabia,9
2011-10-31,Singapore,222
2011-10-31,Spain,2193
2011-10-31,Sweden,412
2011-10-31,Switzerland,1747
2011-10-31,USA,147
2011-10-31,United Arab Emirates,68
2011-10-31,United Kingdom,287917
2011-10-31,Unspecified,241
2011-11-07,Australia,1146
2011-11-07,Austria,391
2011-11-07,Bahrain,17
2011-11-07,Belgium,1817
2011-11-07,Brazil,32
2011-11-07,Canada,151
2011-11-07,Channel Islands,733
2011-11-07,Cyprus,510
2011-11-07,Czech Republic,25
2011-11-07,Denmark,286
2011-11-07,EIRE,6281
2011-11-07,European Community,60
2011-11-07,Finland,627
2011-11-07,France,7226
2011-11-07,Germany,7955
2011-11-07,Greece,109
2011-11-07,Iceland,171
2011-11-07,Israel,245
2011-11-07,Italy,576
2011-11-07,Japan,289
2011-11-07,Lebanon,45
2011-11-07,Lithuania,35
2011-11-07,Malta,100
2011-11-07,Netherlands,2183
2011-11-07,Norway,847
2011-11-07,Poland,330
2011-11-07,Portugal,1263
2011-11-07,RSA,57
2011-11-07,Saudi Arabia,9
2011-11-07,Singapore,222
2011-11-07,Spain,2262
2011-11-07,Sweden,435
2011-11-07,Switzerland,1760
2011-11-07,USA,147
2011-11-07,United Arab Emirates,68
2011-11-07,United Kingdom,302050
2011-11-07,Unspecified,241
2011-11-14,Australia,1173
2011-11-14,Austria,391
2011-11-14,Bahrain,17
2011-11-14,Belgium,1911
2011-11-14,Brazil,32
2011-11-14,Canada,151
2011-11-14,Channel Islands,742
2011-11-14,Cyprus,603
2011-11-14,Czech Republic,25
2011-11-14,Denmark,342
2011-11-14,EIRE,6611
2011-11-14,European Community,60
2011-11-14,Finland,635
2011-11-14,France,7536
2011-11-14,Germany,8315
2011-11-14,Greece,109
2011-11-14,Iceland,171
2011-11-14,Israel,245
2011-11-14,Italy,713
2011-11-14,Japan,320
2011-11-14,Lebanon,45
2011-11-14,Lithuania,35
2011-11-14,Malta,112
2011-11-14,Netherlands,2196
2011-11-14,Norway,881
2011-11-14,Poland,330
2011-11-14,Portugal,1279
2011-11-14,RSA,57
2011-11-14,Saudi Arabia,9
2011-11-14,Singapore,222
2011-11-14,Spain,2370
2011-11-14,Sweden,443
2011-11-14,Switzerland,1804
2011-11-14,USA,147
2011-11-14,United Arab Emirates,68
2011-11-14,United Kingdom,315523
2011-11-14,Unspecified,241
2011-11-21,Australia,1181
2011-11-21,Austria,391
2011-11-21,Bahrain,17
2011-11-21,Belgium,1932
2011-11-21,Brazil,32
2011-11-21,Canada,151
2011-11-21,Channel Islands,742
2011-11-21,Cyprus,603
2011-11-21,Czech Republic,25
2011-11-21,Denmark,342
2011-11-21,EIRE,6849
2011-11-21,European Community,60
2011-11-21,Finland,637
2011-11-21,France,7826
2011-11-21,Germany,8640
2011-11-21,Greece,109
2011-11-21,Iceland,171
2011-11-21,Israel,245
2011-11-21,Italy,750
2011-11-21,Japan,320
2011-11-21,Lebanon,45
2011-11-21,Lithuania,35
2011-11-21,Malta,112
2011-11-21,Netherlands,2269
2011-11-21,Norway,930
2011-11-21,Poland,330
2011-11-21,Portugal,1351
2011-11-21,RSA,57
2011-11-21,Saudi Arabia,9
2011-11-21,Singapore,222
2011-11-21,Spain,2383
2011-11-21,Sweden,449
2011-11-21,Switzerland,1826
2011-11-21,USA,147
2011-11-21,United Arab Emirates,68
2011-11-21,United Kingdom,329420
2011-11-21,Unspecified,241
2011-11-28,Australia,1181
2011-11-28,Austria,391
2011-11-28,Bahrain,17
2011-11-28,Belgium,1964
2011-11-28,Brazil,32
2011-11-28,Canada,151
2011-11-28,Channel Islands,747
2011-11-28,Cyprus,603
2011-11-28,Czech Republic,25
2011-11-28,Denmark,380
2011-11-28,EIRE,6988
2011-11-28,European Community,60
2011-11-28,Finland,685
2011-11-28,France,8190
2011-11-28,Germany,8814
2011-11-28,Greece,109
2011-11-28,Iceland,171
2011-11-28,Israel,245
2011-11-28,Italy,750
2011-11-28,Japan,321
2011-11-28,Lebanon,45
2011-11-28,Lithuania,35
2011-11-28,Malta,112
2011-11-28,Netherlands,2273
2011-11-28,Norway,1005
2011-11-28,Poland,330
2011-11-28,Portugal,1414
2011-11-28,RSA,57
2011-11-28,Saudi Arabia,9
2011-11-28,Singapore,222
2011-11-28,Spain,2414
2011-11-28,Sweden,450
2011-11-28,Switzerland,1841
2011-11-28,USA,179
2011-11-28,United Arab Emirates,68
2011-11-28,United Kingdom,342426
2011-11-28,Unspecified,241
2011-12-05,Australia,1181
2011-12-05,Austria,398
2011-12-05,Bahrain,17
2011-12-05,Belgium,2031
2011-12-05,Brazil,32
2011-12-05,Canada,151
2011-12-05,Channel Islands,747
2011-12-05,Cyprus,603
2011-12-05,Czech Republic,25
2011-12-05,Denmark,380
2011-12-05,EIRE,7226
2011-12-05,European Community,60
2011-12-05,Finland,685
2011-12-05,France,8326
2011-12-05,Germany,9025
2011-12-05,Greece,145
2011-12-05,Iceland,182
2011-12-05,Israel,245
2011-12-05,Italy,758
2011-12-05,Japan,321
2011-12-05,Lebanon,45
2011-12-05,Lithuania,35
2011-12-05,Malta,112
2011-12-05,Netherlands,2359
2011-12-05,Norway,1071
2011-12-05,Poland,330
2011-12-05,Portugal,1453
2011-12-05,RSA,57
2011-12-05,Saudi Arabia,9
2011-12-05,Singapore,222
2011-12-05,Spain,2479
2011-12-05,Sweden,450
2011-12-05,Switzerland,1841
2011-12-05,USA,179
2011-12-05,United Arab Emirates,68
2011-12-05,United Kingdom,349203
2011-12-05,Unspecified,241
